cell_id	Barcode	ChAT	fru	Gad1	SerT	sNPF	tbh	Ple	VGlut	x	y	umap_1	umap_2	clust_label
662	122011221	67496	59672	58	319	599059	349	332	4723	800.66	1131.3	3.4817894	-1.1723461	13
669	122011221	37859	33146	0	284	1006217	262	154	246	804.74	1530.8	3.5857775	-1.4274685	13
670	1122001111	52821	310	0	91	125156	77	0	306	805.54	788.17	-1.8178233	4.7578363	1
675	202012000	21040	3337	0	1765	485374	47090	0	259882	811.36	1691.4	-3.2051406	1.2988402	0
684	1100211101	54115	527	1674	351	170323	381	187	1074	818.45	768.13	-1.7457694	4.832277	1
687	2000001000	226	23997	35	1307	362440	7584	0	844417	820.23	1736.6	-3.0554547	-1.2030374	0
688	1111001000	29681	3172	16	31	80715	39	0	18	817.8	55.847	-2.549612	4.995634	1
692	2120212020	177242	112764	11248	231	477842	439	0	254	823.61	993.15	5.1350517	-1.5899719	9
694	2120212020	207449	174630	6890	139	512108	8009	0	435	826.53	1018.5	6.46235	-2.6900806	9
695	1111111010	86997	55441	167	59	1097051	156	135	117	828.99	1123.6	4.880825	-1.7239847	9
708	202012000	10579	759	0	122	430148	18511	0	81140	833.58	1671.2	-2.964213	3.2521136	2
709	1001001000	22	62250	0	1993	1310507	115690	1174	613808	836.09	1850.1	-2.6624613	-1.4348551	0
712	202012000	36265	1764	0	218	511492	959	0	492697	839.86	1710.1	-3.356655	0.34478164	0
722	122011221	130993	48733	1574	253	1046550	806	0	997	845.46	1103.3	4.730704	-1.1642226	9
731	1000	7860	396	0	164	2993382	42165	7307	1021910	853.12	1895.8	-2.7247593	-1.4395767	0
746	202012000	18954	49	0	3	244116	2232	0	183210	857.81	1693.8	-3.9827864	2.9448352	2
760	2010011221	81545	7	0	48	127334	1276	0	14231	866.94	23.78	-1.1603702	4.591851	1
768	1111111011	32293	49547	298	219	639366	485	0	1003	870.99	1108.5	3.1321018	-1.162944	13
774	202012000	20241	1228	0	38	489148	18627	0	260536	874.89	1736.0	-3.476156	1.3116953	0
784	202012000	16976	2722	0	246	287509	276	0	132673	879.01	1691.3	-3.9488325	3.389707	2
790	1111111111	47674	21482	0	79	538510	591	9	66	881.3	1166.1	1.6758418	7.2016478	12
801	1111111100	43056	1512	74	192	820113	174	0	119	891.07	1181.9	1.8793149	7.454312	12
806	2000001000	1964	58243	0	75	428351	51871	0	959319	891.4	1873.5	-2.8168538	-1.38938	0
